"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4903185","*****",
"0400000US02","Alaska","731545","*****",
"0400000US04","Arizona","7278717","*****",
"0400000US05","Arkansas","3017804","*****",
"0400000US06","California","39512223","*****",
"0400000US08","Colorado","5758736","*****",
"0400000US09","Connecticut","3565287","*****",
"0400000US10","Delaware","973764","*****",
"0400000US11","District of Columbia","705749","*****",
"0400000US12","Florida","21477737","*****",
"0400000US13","Georgia","10617423","*****",
"0400000US15","Hawaii","1415872","*****",
"0400000US16","Idaho","1787065","*****",
"0400000US17","Illinois","12671821","*****",
"0400000US18","Indiana","6732219","*****",
"0400000US19","Iowa","3155070","*****",
"0400000US20","Kansas","2913314","*****",
"0400000US21","Kentucky","4467673","*****",
"0400000US22","Louisiana","4648794","*****",
"0400000US23","Maine","1344212","*****",
"0400000US24","Maryland","6045680","*****",
"0400000US25","Massachusetts","6892503","*****",
"0400000US26","Michigan","9986857","*****",
"0400000US27","Minnesota","5639632","*****",
"0400000US28","Mississippi","2976149","*****",
"0400000US29","Missouri","6137428","*****",
"0400000US30","Montana","1068778","*****",
"0400000US31","Nebraska","1934408","*****",
"0400000US32","Nevada","3080156","*****",
"0400000US33","New Hampshire","1359711","*****",
"0400000US34","New Jersey","8882190","*****",
"0400000US35","New Mexico","2096829","*****",
"0400000US36","New York","19453561","*****",
"0400000US37","North Carolina","10488084","*****",
"0400000US38","North Dakota","762062","*****",
"0400000US39","Ohio","11689100","*****",
"0400000US40","Oklahoma","3956971","*****",
"0400000US41","Oregon","4217737","*****",
"0400000US42","Pennsylvania","12801989","*****",
"0400000US44","Rhode Island","1059361","*****",
"0400000US45","South Carolina","5148714","*****",
"0400000US46","South Dakota","884659","*****",
"0400000US47","Tennessee","6829174","*****",
"0400000US48","Texas","28995881","*****",
"0400000US49","Utah","3205958","*****",
"0400000US50","Vermont","623989","*****",
"0400000US51","Virginia","8535519","*****",
"0400000US53","Washington","7614893","*****",
"0400000US54","West Virginia","1792147","*****",
"0400000US55","Wisconsin","5822434","*****",
"0400000US56","Wyoming","578759","*****",
"0400000US72","Puerto Rico","3193694","*****",
