"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","5074296","*****",
"0400000US02","Alaska","733583","*****",
"0400000US04","Arizona","7359197","*****",
"0400000US05","Arkansas","3045637","*****",
"0400000US06","California","39029342","*****",
"0400000US08","Colorado","5839926","*****",
"0400000US09","Connecticut","3626205","*****",
"0400000US10","Delaware","1018396","*****",
"0400000US11","District of Columbia","671803","*****",
"0400000US12","Florida","22244823","*****",
"0400000US13","Georgia","10912876","*****",
"0400000US15","Hawaii","1440196","*****",
"0400000US16","Idaho","1939033","*****",
"0400000US17","Illinois","12582032","*****",
"0400000US18","Indiana","6833037","*****",
"0400000US19","Iowa","3200517","*****",
"0400000US20","Kansas","2937150","*****",
"0400000US21","Kentucky","4512310","*****",
"0400000US22","Louisiana","4590241","*****",
"0400000US23","Maine","1385340","*****",
"0400000US24","Maryland","6164660","*****",
"0400000US25","Massachusetts","6981974","*****",
"0400000US26","Michigan","10034118","*****",
"0400000US27","Minnesota","5717184","*****",
"0400000US28","Mississippi","2940057","*****",
"0400000US29","Missouri","6177957","*****",
"0400000US30","Montana","1122867","*****",
"0400000US31","Nebraska","1967923","*****",
"0400000US32","Nevada","3177772","*****",
"0400000US33","New Hampshire","1395231","*****",
"0400000US34","New Jersey","9261699","*****",
"0400000US35","New Mexico","2113344","*****",
"0400000US36","New York","19677151","*****",
"0400000US37","North Carolina","10698973","*****",
"0400000US38","North Dakota","779261","*****",
"0400000US39","Ohio","11756058","*****",
"0400000US40","Oklahoma","4019800","*****",
"0400000US41","Oregon","4240137","*****",
"0400000US42","Pennsylvania","12972008","*****",
"0400000US44","Rhode Island","1093734","*****",
"0400000US45","South Carolina","5282634","*****",
"0400000US46","South Dakota","909824","*****",
"0400000US47","Tennessee","7051339","*****",
"0400000US48","Texas","30029572","*****",
"0400000US49","Utah","3380800","*****",
"0400000US50","Vermont","647064","*****",
"0400000US51","Virginia","8683619","*****",
"0400000US53","Washington","7785786","*****",
"0400000US54","West Virginia","1775156","*****",
"0400000US55","Wisconsin","5892539","*****",
"0400000US56","Wyoming","581381","*****",
"0400000US72","Puerto Rico","3221789","*****",
