"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4863300","*****",
"0400000US02","Alaska","741894","*****",
"0400000US04","Arizona","6931071","*****",
"0400000US05","Arkansas","2988248","*****",
"0400000US06","California","39250017","*****",
"0400000US08","Colorado","5540545","*****",
"0400000US09","Connecticut","3576452","*****",
"0400000US10","Delaware","952065","*****",
"0400000US11","District of Columbia","681170","*****",
"0400000US12","Florida","20612439","*****",
"0400000US13","Georgia","10310371","*****",
"0400000US15","Hawaii","1428557","*****",
"0400000US16","Idaho","1683140","*****",
"0400000US17","Illinois","12801539","*****",
"0400000US18","Indiana","6633053","*****",
"0400000US19","Iowa","3134693","*****",
"0400000US20","Kansas","2907289","*****",
"0400000US21","Kentucky","4436974","*****",
"0400000US22","Louisiana","4681666","*****",
"0400000US23","Maine","1331479","*****",
"0400000US24","Maryland","6016447","*****",
"0400000US25","Massachusetts","6811779","*****",
"0400000US26","Michigan","9928300","*****",
"0400000US27","Minnesota","5519952","*****",
"0400000US28","Mississippi","2988726","*****",
"0400000US29","Missouri","6093000","*****",
"0400000US30","Montana","1042520","*****",
"0400000US31","Nebraska","1907116","*****",
"0400000US32","Nevada","2940058","*****",
"0400000US33","New Hampshire","1334795","*****",
"0400000US34","New Jersey","8944469","*****",
"0400000US35","New Mexico","2081015","*****",
"0400000US36","New York","19745289","*****",
"0400000US37","North Carolina","10146788","*****",
"0400000US38","North Dakota","757953","*****",
"0400000US39","Ohio","11614373","*****",
"0400000US40","Oklahoma","3923561","*****",
"0400000US41","Oregon","4093465","*****",
"0400000US42","Pennsylvania","12784227","*****",
"0400000US44","Rhode Island","1056426","*****",
"0400000US45","South Carolina","4961119","*****",
"0400000US46","South Dakota","865454","*****",
"0400000US47","Tennessee","6651194","*****",
"0400000US48","Texas","27862596","*****",
"0400000US49","Utah","3051217","*****",
"0400000US50","Vermont","624594","*****",
"0400000US51","Virginia","8411808","*****",
"0400000US53","Washington","7288000","*****",
"0400000US54","West Virginia","1831102","*****",
"0400000US55","Wisconsin","5778709","*****",
"0400000US56","Wyoming","585501","*****",
"0400000US72","Puerto Rico","3411307","*****",
