"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4874747","*****",
"0400000US02","Alaska","739795","*****",
"0400000US04","Arizona","7016270","*****",
"0400000US05","Arkansas","3004279","*****",
"0400000US06","California","39536653","*****",
"0400000US08","Colorado","5607154","*****",
"0400000US09","Connecticut","3588184","*****",
"0400000US10","Delaware","961939","*****",
"0400000US11","District of Columbia","693972","*****",
"0400000US12","Florida","20984400","*****",
"0400000US13","Georgia","10429379","*****",
"0400000US15","Hawaii","1427538","*****",
"0400000US16","Idaho","1716943","*****",
"0400000US17","Illinois","12802023","*****",
"0400000US18","Indiana","6666818","*****",
"0400000US19","Iowa","3145711","*****",
"0400000US20","Kansas","2913123","*****",
"0400000US21","Kentucky","4454189","*****",
"0400000US22","Louisiana","4684333","*****",
"0400000US23","Maine","1335907","*****",
"0400000US24","Maryland","6052177","*****",
"0400000US25","Massachusetts","6859819","*****",
"0400000US26","Michigan","9962311","*****",
"0400000US27","Minnesota","5576606","*****",
"0400000US28","Mississippi","2984100","*****",
"0400000US29","Missouri","6113532","*****",
"0400000US30","Montana","1050493","*****",
"0400000US31","Nebraska","1920076","*****",
"0400000US32","Nevada","2998039","*****",
"0400000US33","New Hampshire","1342795","*****",
"0400000US34","New Jersey","9005644","*****",
"0400000US35","New Mexico","2088070","*****",
"0400000US36","New York","19849399","*****",
"0400000US37","North Carolina","10273419","*****",
"0400000US38","North Dakota","755393","*****",
"0400000US39","Ohio","11658609","*****",
"0400000US40","Oklahoma","3930864","*****",
"0400000US41","Oregon","4142776","*****",
"0400000US42","Pennsylvania","12805537","*****",
"0400000US44","Rhode Island","1059639","*****",
"0400000US45","South Carolina","5024369","*****",
"0400000US46","South Dakota","869666","*****",
"0400000US47","Tennessee","6715984","*****",
"0400000US48","Texas","28304596","*****",
"0400000US49","Utah","3101833","*****",
"0400000US50","Vermont","623657","*****",
"0400000US51","Virginia","8470020","*****",
"0400000US53","Washington","7405743","*****",
"0400000US54","West Virginia","1815857","*****",
"0400000US55","Wisconsin","5795483","*****",
"0400000US56","Wyoming","579315","*****",
"0400000US72","Puerto Rico","3337177","*****",
