"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4822023","*****",
"0400000US02","Alaska","731449","*****",
"0400000US04","Arizona","6553255","*****",
"0400000US05","Arkansas","2949131","*****",
"0400000US06","California","38041430","*****",
"0400000US08","Colorado","5187582","*****",
"0400000US09","Connecticut","3590347","*****",
"0400000US10","Delaware","917092","*****",
"0400000US11","District of Columbia","632323","*****",
"0400000US12","Florida","19317568","*****",
"0400000US13","Georgia","9919945","*****",
"0400000US15","Hawaii","1392313","*****",
"0400000US16","Idaho","1595728","*****",
"0400000US17","Illinois","12875255","*****",
"0400000US18","Indiana","6537334","*****",
"0400000US19","Iowa","3074186","*****",
"0400000US20","Kansas","2885905","*****",
"0400000US21","Kentucky","4380415","*****",
"0400000US22","Louisiana","4601893","*****",
"0400000US23","Maine","1329192","*****",
"0400000US24","Maryland","5884563","*****",
"0400000US25","Massachusetts","6646144","*****",
"0400000US26","Michigan","9883360","*****",
"0400000US27","Minnesota","5379139","*****",
"0400000US28","Mississippi","2984926","*****",
"0400000US29","Missouri","6021988","*****",
"0400000US30","Montana","1005141","*****",
"0400000US31","Nebraska","1855525","*****",
"0400000US32","Nevada","2758931","*****",
"0400000US33","New Hampshire","1320718","*****",
"0400000US34","New Jersey","8864590","*****",
"0400000US35","New Mexico","2085538","*****",
"0400000US36","New York","19570261","*****",
"0400000US37","North Carolina","9752073","*****",
"0400000US38","North Dakota","699628","*****",
"0400000US39","Ohio","11544225","*****",
"0400000US40","Oklahoma","3814820","*****",
"0400000US41","Oregon","3899353","*****",
"0400000US42","Pennsylvania","12763536","*****",
"0400000US44","Rhode Island","1050292","*****",
"0400000US45","South Carolina","4723723","*****",
"0400000US46","South Dakota","833354","*****",
"0400000US47","Tennessee","6456243","*****",
"0400000US48","Texas","26059203","*****",
"0400000US49","Utah","2855287","*****",
"0400000US50","Vermont","626011","*****",
"0400000US51","Virginia","8185867","*****",
"0400000US53","Washington","6897012","*****",
"0400000US54","West Virginia","1855413","*****",
"0400000US55","Wisconsin","5726398","*****",
"0400000US56","Wyoming","576412","*****",
"0400000US72","Puerto Rico","3667084","*****",
