"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","5157699","*****",
"0400000US02","Alaska","740133","*****",
"0400000US04","Arizona","7582384","*****",
"0400000US05","Arkansas","3088354","*****",
"0400000US06","California","39431263","*****",
"0400000US08","Colorado","5957494","*****",
"0400000US09","Connecticut","3675069","*****",
"0400000US10","Delaware","1051917","*****",
"0400000US11","District of Columbia","702250","*****",
"0400000US12","Florida","23372215","*****",
"0400000US13","Georgia","11180878","*****",
"0400000US15","Hawaii","1446146","*****",
"0400000US16","Idaho","2001619","*****",
"0400000US17","Illinois","12710158","*****",
"0400000US18","Indiana","6924275","*****",
"0400000US19","Iowa","3241488","*****",
"0400000US20","Kansas","2970606","*****",
"0400000US21","Kentucky","4588372","*****",
"0400000US22","Louisiana","4597740","*****",
"0400000US23","Maine","1405012","*****",
"0400000US24","Maryland","6263220","*****",
"0400000US25","Massachusetts","7136171","*****",
"0400000US26","Michigan","10140459","*****",
"0400000US27","Minnesota","5793151","*****",
"0400000US28","Mississippi","2943045","*****",
"0400000US29","Missouri","6245466","*****",
"0400000US30","Montana","1137233","*****",
"0400000US31","Nebraska","2005466","*****",
"0400000US32","Nevada","3267467","*****",
"0400000US33","New Hampshire","1409032","*****",
"0400000US34","New Jersey","9500851","*****",
"0400000US35","New Mexico","2130256","*****",
"0400000US36","New York","19867248","*****",
"0400000US37","North Carolina","11046024","*****",
"0400000US38","North Dakota","796568","*****",
"0400000US39","Ohio","11883304","*****",
"0400000US40","Oklahoma","4095393","*****",
"0400000US41","Oregon","4272371","*****",
"0400000US42","Pennsylvania","13078751","*****",
"0400000US44","Rhode Island","1112308","*****",
"0400000US45","South Carolina","5478831","*****",
"0400000US46","South Dakota","924669","*****",
"0400000US47","Tennessee","7227750","*****",
"0400000US48","Texas","31290831","*****",
"0400000US49","Utah","3503613","*****",
"0400000US50","Vermont","648493","*****",
"0400000US51","Virginia","8811195","*****",
"0400000US53","Washington","7958180","*****",
"0400000US54","West Virginia","1769979","*****",
"0400000US55","Wisconsin","5960975","*****",
"0400000US56","Wyoming","587618","*****",
"0400000US72","Puerto Rico","3203295","*****",
