"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","4802740","*****",
"0400000US02","Alaska","722718","*****",
"0400000US04","Arizona","6482505","*****",
"0400000US05","Arkansas","2937979","*****",
"0400000US06","California","37691912","*****",
"0400000US08","Colorado","5116796","*****",
"0400000US09","Connecticut","3580709","*****",
"0400000US10","Delaware","907135","*****",
"0400000US11","District of Columbia","617996","*****",
"0400000US12","Florida","19057542","*****",
"0400000US13","Georgia","9815210","*****",
"0400000US15","Hawaii","1374810","*****",
"0400000US16","Idaho","1584985","*****",
"0400000US17","Illinois","12869259","*****",
"0400000US18","Indiana","6516922","*****",
"0400000US19","Iowa","3062309","*****",
"0400000US20","Kansas","2871238","*****",
"0400000US21","Kentucky","4369356","*****",
"0400000US22","Louisiana","4574836","*****",
"0400000US23","Maine","1328188","*****",
"0400000US24","Maryland","5828289","*****",
"0400000US25","Massachusetts","6587536","*****",
"0400000US26","Michigan","9876187","*****",
"0400000US27","Minnesota","5344861","*****",
"0400000US28","Mississippi","2978512","*****",
"0400000US29","Missouri","6010688","*****",
"0400000US30","Montana","998199","*****",
"0400000US31","Nebraska","1842641","*****",
"0400000US32","Nevada","2723322","*****",
"0400000US33","New Hampshire","1318194","*****",
"0400000US34","New Jersey","8821155","*****",
"0400000US35","New Mexico","2082224","*****",
"0400000US36","New York","19465197","*****",
"0400000US37","North Carolina","9656401","*****",
"0400000US38","North Dakota","683932","*****",
"0400000US39","Ohio","11544951","*****",
"0400000US40","Oklahoma","3791508","*****",
"0400000US41","Oregon","3871859","*****",
"0400000US42","Pennsylvania","12742886","*****",
"0400000US44","Rhode Island","1051302","*****",
"0400000US45","South Carolina","4679230","*****",
"0400000US46","South Dakota","824082","*****",
"0400000US47","Tennessee","6403353","*****",
"0400000US48","Texas","25674681","*****",
"0400000US49","Utah","2817222","*****",
"0400000US50","Vermont","626431","*****",
"0400000US51","Virginia","8096604","*****",
"0400000US53","Washington","6830038","*****",
"0400000US54","West Virginia","1855364","*****",
"0400000US55","Wisconsin","5711767","*****",
"0400000US56","Wyoming","568158","*****",
"0400000US72","Puerto Rico","3706690","*****",
