"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","5108468","*****",
"0400000US02","Alaska","733406","*****",
"0400000US04","Arizona","7431344","*****",
"0400000US05","Arkansas","3067732","*****",
"0400000US06","California","38965193","*****",
"0400000US08","Colorado","5877610","*****",
"0400000US09","Connecticut","3617176","*****",
"0400000US10","Delaware","1031890","*****",
"0400000US11","District of Columbia","678972","*****",
"0400000US12","Florida","22610726","*****",
"0400000US13","Georgia","11029227","*****",
"0400000US15","Hawaii","1435138","*****",
"0400000US16","Idaho","1964726","*****",
"0400000US17","Illinois","12549689","*****",
"0400000US18","Indiana","6862199","*****",
"0400000US19","Iowa","3207004","*****",
"0400000US20","Kansas","2940547","*****",
"0400000US21","Kentucky","4526154","*****",
"0400000US22","Louisiana","4573749","*****",
"0400000US23","Maine","1395722","*****",
"0400000US24","Maryland","6180253","*****",
"0400000US25","Massachusetts","7001399","*****",
"0400000US26","Michigan","10037261","*****",
"0400000US27","Minnesota","5737915","*****",
"0400000US28","Mississippi","2939690","*****",
"0400000US29","Missouri","6196156","*****",
"0400000US30","Montana","1132812","*****",
"0400000US31","Nebraska","1978379","*****",
"0400000US32","Nevada","3194176","*****",
"0400000US33","New Hampshire","1402054","*****",
"0400000US34","New Jersey","9290841","*****",
"0400000US35","New Mexico","2114371","*****",
"0400000US36","New York","19571216","*****",
"0400000US37","North Carolina","10835491","*****",
"0400000US38","North Dakota","783926","*****",
"0400000US39","Ohio","11785935","*****",
"0400000US40","Oklahoma","4053824","*****",
"0400000US41","Oregon","4233358","*****",
"0400000US42","Pennsylvania","12961683","*****",
"0400000US44","Rhode Island","1095962","*****",
"0400000US45","South Carolina","5373555","*****",
"0400000US46","South Dakota","919318","*****",
"0400000US47","Tennessee","7126489","*****",
"0400000US48","Texas","30503301","*****",
"0400000US49","Utah","3417734","*****",
"0400000US50","Vermont","647464","*****",
"0400000US51","Virginia","8715698","*****",
"0400000US53","Washington","7812880","*****",
"0400000US54","West Virginia","1770071","*****",
"0400000US55","Wisconsin","5910955","*****",
"0400000US56","Wyoming","584057","*****",
"0400000US72","Puerto Rico","3205691","*****",
