"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US01","Alabama","5039877","*****",
"0400000US02","Alaska","732673","*****",
"0400000US04","Arizona","7276316","*****",
"0400000US05","Arkansas","3025891","*****",
"0400000US06","California","39237836","*****",
"0400000US08","Colorado","5812069","*****",
"0400000US09","Connecticut","3605597","*****",
"0400000US10","Delaware","1003384","*****",
"0400000US11","District of Columbia","670050","*****",
"0400000US12","Florida","21781128","*****",
"0400000US13","Georgia","10799566","*****",
"0400000US15","Hawaii","1441553","*****",
"0400000US16","Idaho","1900923","*****",
"0400000US17","Illinois","12671469","*****",
"0400000US18","Indiana","6805985","*****",
"0400000US19","Iowa","3193079","*****",
"0400000US20","Kansas","2934582","*****",
"0400000US21","Kentucky","4509394","*****",
"0400000US22","Louisiana","4624047","*****",
"0400000US23","Maine","1372247","*****",
"0400000US24","Maryland","6165129","*****",
"0400000US25","Massachusetts","6984723","*****",
"0400000US26","Michigan","10050811","*****",
"0400000US27","Minnesota","5707390","*****",
"0400000US28","Mississippi","2949965","*****",
"0400000US29","Missouri","6168187","*****",
"0400000US30","Montana","1104271","*****",
"0400000US31","Nebraska","1963692","*****",
"0400000US32","Nevada","3143991","*****",
"0400000US33","New Hampshire","1388992","*****",
"0400000US34","New Jersey","9267130","*****",
"0400000US35","New Mexico","2115877","*****",
"0400000US36","New York","19835913","*****",
"0400000US37","North Carolina","10551162","*****",
"0400000US38","North Dakota","774948","*****",
"0400000US39","Ohio","11780017","*****",
"0400000US40","Oklahoma","3986639","*****",
"0400000US41","Oregon","4246155","*****",
"0400000US42","Pennsylvania","12964056","*****",
"0400000US44","Rhode Island","1095610","*****",
"0400000US45","South Carolina","5190705","*****",
"0400000US46","South Dakota","895376","*****",
"0400000US47","Tennessee","6975218","*****",
"0400000US48","Texas","29527941","*****",
"0400000US49","Utah","3337975","*****",
"0400000US50","Vermont","645570","*****",
"0400000US51","Virginia","8642274","*****",
"0400000US53","Washington","7738692","*****",
"0400000US54","West Virginia","1782959","*****",
"0400000US55","Wisconsin","5895908","*****",
"0400000US56","Wyoming","578803","*****",
"0400000US72","Puerto Rico","3263584","*****",
